Taxar,ID,Provyteareal,Proportion_pine,Both Pine cover,Birch cover,Aspen cover,Rowan cover,Salix cover ,Oak,RASE_proportion,RASE presence,NordKoordinat,OstKoordinat,HuggnKlass,Browsing_presence,Moose pellet groups,Moose presence ,Wolf territory,Time since establishment,Small roads,Big roads,Pellet counts,Fresh only,Fresh and old ,Fresh ,Old and fresh,Old,Other ,No browsing,Total trees
2004,2.00E+11,153.94,0.17539301,27,27,0,0,0,0,0,0,6747880,375547,22,0,0,0,1,17,50.43195943,1785.502257,0,0,0,0,0,0,1,2,3
2008,2.01E+11,153.94,0.448226582,69,69,0,0,0,0,0,0,6603761,384999,22,0,0,0,0,0,50.9191045,2524.806322,0,0,0,0,0,0,0,0,0
2008,2.01E+11,153.94,0.090944524,14,12,0,2,2,0,0.02598415,1,6896815,520349,22,0,0,0,0,0,51.84938798,7309.212165,0,0,0,0,0,0,0,0,0
2005,2.01E+11,153.94,0.019488112,3,3,0,0,0,0,0,0,6871767,362621,23,0,0,0,0,0,52.16469934,5838.68157,0,0,0,0,0,0,1,1,2
2003,2.00E+11,153.94,0,0,0,0,2,0,0,0.012992075,1,6749876,578945,22,0,0,0,0,0,52.23143041,1868.37851,0,0,0,0,1,1,2,8,11
2011,2.01E+11,153.94,0.019488112,3,3,0.5,0,0,0,0.003248019,1,6807250,513962,22,1,0,0,1,8,52.60186493,11688.92246,0,2,0,2,0,0,1,2,5
2012,2.01E+11,153.94,0.058464337,9,9,0,0.5,0,0,0.003248019,1,6784483,490248,22,0,0,0,1,8,52.67094245,941.009284,0,0,0,0,2,2,0,0,2
2004,2.00E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6600727,315877,22,0,0,0,0,0,52.85522971,1707.59974,0,0,0,0,0,0,0,0,0
2008,2.01E+11,153.94,0.019488112,3,3,0,0,0,0,0,0,6748955,528172,23,0,0,0,1,3,52.89997304,3942.603781,0,0,0,0,0,0,0,0,0
2008,2.01E+11,153.94,0.272833572,42,42,0,2,0,0,0.012992075,1,6741672,627239,23,0,0,0,0,0,53.78830784,2071.663927,0,0,0,0,0,0,2,0,2
2006,2.01E+11,153.94,0.350786021,54,54,0,3,0,0,0.019488112,1,6829426,584463,22,0,0,0,0,0,54.07753916,54.066073,0,0,0,0,0,0,0,1,1
2003,2.00E+11,153.94,0.051968299,8,12,0,0,0,0,0,0,6433452,347325,21,0,0,0,0,0,54.95029502,367.658427,0,0,0,0,0,0,0,2,2
2007,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6797333,454903,22,0,0,0,1,2,57.32654677,3574.574932,0,0,0,0,0,0,0,3,3
2011,2.01E+11,153.94,0,0,0,0,0,0,0,0,0,6775657,544337,22,0,0,0,1,8,57.43443651,1945.846003,0,0,4,4,2,6,0,1,7
2003,2.00E+11,153.94,0,0,42,0,0,0,0,0,0,6594241,519324,22,0,0,0,0,0,57.43717156,1761.216697,0,0,0,0,0,0,0,0,0
2012,2.01E+11,153.94,0.587891386,90.5,90,0,0,0.5,0,0.003248019,1,6624604,599118,22,0,0,0,0,0,59.84545107,2277.322074,0,0,0,0,0,0,0,0,0
2015,2.02E+11,153.94,0.40275432,62,62,0,1,0,0,0.006496037,1,6656934,488221,22,0,1,1,1,17,59.91047681,34.638653,1,0,0,0,1,1,2,0,3
2010,2.01E+11,153.94,0.032480187,5,3,0,0,2,0,0.012992075,1,6623810,467186,22,1,2,1,0,0,60.00042676,1245.007227,2,3,0,3,1,1,0,0,4
2005,2.01E+11,153.94,0.077952449,12,12,0,0,0,0,0,0,6642815,567109,22,0,1.04435573,1,0,0,61.17579991,3882.650718,1,0,0,0,2,2,1,5,8
2003,2.00E+11,153.94,0.012992075,2,12,0,0,0,0,0,0,6793689,563911,22,0,0,0,0,0,61.38175149,2572.749368,0,0,0,0,3,3,0,4,7
2008,2.01E+11,153.94,0.461218657,71,69,0,0,2,0,0.012992075,1,6401386,357102,23,0,0,0,0,0,61.90980495,525.708057,0,0,0,0,4,4,0,11,15
2009,2.01E+11,153.94,0.272833572,42,42,0,0,0,0,0,0,6460291,435564,23,0,2,1,0,0,62.10206327,1009.633494,2,0,0,0,4,4,0,5,9
2005,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6663653,435548,22,0,0,0,1,9,63.08589972,1329.221287,0,0,0,0,1,1,0,0,1
2015,2.02E+11,153.94,0.17539301,27,24,0,1,3,0,0.02598415,1,6475528,331595,21,1,1,1,0,0,63.44081051,489.870379,1,3,0,3,8,8,2,0,13
2010,2.01E+11,153.94,0.675587891,104,69,12,0,35,0,0.305313759,1,6562795,385002,22,0,1,1,0,0,65.28918106,1037.15766,1,0,1,1,0,1,0,0,1
2004,2.00E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6885149,563772,22,0,0,0,0,0,65.59179286,74.845037,0,0,0,0,3,3,0,5,8
2005,2.01E+11,153.94,0.064960374,10,8,2,2,2,0,0.038976225,1,6824221,568032,22,0,0,0,0,0,66.42665624,3563.072353,0,0,0,0,3,3,0,4,7
2007,2.01E+11,153.94,0.051968299,8,6,0,2,2,2,0.038976225,1,6462540,373356,22,0,0,0,0,0,66.48263404,667.477578,0,0,0,0,1,1,2,1,4
2012,2.01E+11,153.94,0.695076004,107,107,0,0,0,0,0,0,6491647,449585,22,0,0,0,0,0,66.59839024,502.078129,0,0,0,0,0,0,0,0,0
2004,2.00E+11,153.94,0.032480187,5,5,0,0,0,0,0,0,6701891,374612,23,0,0,0,1,5,66.61249494,985.174613,0,0,0,0,0,0,0,0,0
2004,2.00E+11,153.94,0.051968299,8,8,0,0,0,0,0,0,6361860,378561,21,0,0,0,0,0,66.79456248,1150.875118,0,0,0,0,0,0,0,0,0
2009,2.01E+11,153.94,0.032480187,5,2,0,0,3,0,0.019488112,1,6394537,345043,23,0,0,0,0,0,67.13771951,51.887449,0,0,0,0,1,1,0,2,3
2007,2.01E+11,153.94,0.077952449,12,12,0,2,0,0,0.012992075,1,6746746,405546,22,0,0,0,0,0,67.26423129,7245.300737,0,0,0,0,2,2,1,1,4
2014,2.01E+11,153.94,0.032480187,5,5,0,3,0,0,0.019488112,1,6524679,335621,22,0,0,0,0,0,67.79507869,536.006484,0,0,0,0,0,0,0,0,0
2016,2.02E+11,153.94,0.071456412,11,11,0,1,0,0,0.006496037,1,6864040,623638,22,0,0,0,0,0,68.42433305,673.325973,0,0,0,0,0,0,2,1,3
2011,2.01E+11,153.94,0.717812135,110.5,110,0.5,0.5,0.5,0,0.009744056,1,6582312,474470,22,0,0,0,1,6,69.04345023,1022.103514,0,0,0,0,0,0,0,0,0
2015,2.02E+11,153.94,0.181889048,28,28,0,4,0,0,0.02598415,1,6754099,600114,22,0,1,1,0,0,69.25358547,3315.265156,1,0,0,0,1,1,0,0,1
2016,2.02E+11,153.94,0,0,0,0,0,0,0,0,0,6870345,375432,21,1,2,1,0,0,69.67391916,1599.428348,2,2,0,2,0,0,1,2,5
2015,2.02E+11,153.94,0.565155255,87,86,1,0,1,0,0.012992075,1,6478554,449890,22,0,0,0,0,0,70.71800711,1608.777509,0,0,0,0,0,0,0,0,0
2008,2.01E+11,153.94,0.051968299,8,8,0,3,0,0,0.019488112,1,6793969,571104,22,0,0,0,0,0,71.49057666,1685.990725,0,0,0,0,2,2,0,2,4
2004,2.00E+11,153.94,0.233857347,36,35,0,0,1,0,0.013095187,1,6714349,494404,22,0,0,0,0,0,71.85645885,4769.373423,0,0,0,0,0,0,2,2,4
2012,2.01E+11,153.94,0.220865272,34,34,0,0.5,0,0,0.003248019,1,6612587,453360,22,0,0,0,1,5,72.05894241,399.513829,0,0,0,0,0,0,1,4,5
2004,2.00E+11,153.94,0.123424711,19,19,0,0,0,0,0,0,6667986,381024,23,0,0,0,0,0,72.63566234,111.975259,0,0,0,0,0,0,0,0,0
2005,2.01E+11,153.94,0.350786021,54,54,0,0,0,0,0,0,6611643,391705,22,0,0,0,0,0,72.86397771,781.914478,0,0,0,0,0,0,0,1,1
2011,2.01E+11,153.94,0.006496037,1,0.5,0,0,0.5,0,0.003248019,1,6779770,433337,21,0,0,0,0,0,73.87661097,6032.027942,0,0,0,0,0,0,3,6,9
2011,2.01E+11,153.94,0.003248019,0.5,0.5,0,0,0,0,0,0,6787707,428726,22,0,0,0,0,0,74.38679471,358.058391,0,0,0,0,2,2,2,3,7
2011,2.01E+11,153.94,0.02598415,4,4,0,0.5,0,0,0.003248019,1,6735019,451878,22,1,0,0,1,6,74.77248935,827.915547,0,2,0,2,0,0,0,0,2
2014,2.01E+11,153.94,0.038976225,6,6,0,0,0,0,0,0,6813014,458074,23,0,0,0,0,0,75.41608827,2530.537643,0,0,0,0,2,2,7,3,12
2012,2.01E+11,153.94,0.090944524,14,14,0,0.5,0,0,0.003248019,1,6556101,291234,21,0,0,0,0,0,75.52445549,1042.498998,0,0,0,0,0,0,8,2,10
2013,2.01E+11,153.94,0.129920748,20,20,0,0.5,0,0,0.003248019,1,6658478,545398,22,0,0,0,1,3,75.88417594,773.393556,0,0,1,1,0,1,0,0,1
2012,2.01E+11,153.94,0.344289983,53,49,0,0.5,4,0,0.029232168,1,6384879,381286,22,1,0,0,0,0,76.17689093,499.629295,0,1,1,2,1,2,0,1,4
2005,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6772794,450210,23,0,0,0,0,0,76.45244441,3398.841687,0,0,0,0,2,2,0,4,6
2008,2.01E+11,153.94,0.012992075,2,2,0,2,0,0,0.012992075,1,6861344,602265,23,0,0,0,0,0,77.28913097,5058.587034,0,0,0,0,0,0,2,0,2
2008,2.01E+11,153.94,0.038976225,6,6,0,2,0,0,0.012992075,1,6609250,465902,22,0,0,0,1,3,77.40001074,4572.956342,0,0,0,0,0,0,0,0,0
2010,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6809248,390977,22,0,0,0,1,3,78.01497476,5865.468864,0,0,0,0,1,1,4,0,5
2006,2.01E+11,153.94,0.077952449,12,12,27,2,0,0,0.188385085,1,6809231,608207,22,0,0,0,0,0,78.11177215,1761.549477,0,0,2,2,1,3,0,0,3
2013,2.01E+11,153.94,0,0,0,0,0,0,0,0,0,6761488,439167,23,0,0,0,0,0,78.12034631,1057.614812,0,0,1,1,9,10,1,13,24
2006,2.01E+11,153.94,0.55216318,85,85,0,0,0,0,0,0,6815252,569638,22,0,0,0,0,0,78.69697782,1417.547713,0,0,0,0,0,0,0,1,1
2010,2.01E+11,153.94,0.123424711,19,19,0,2,0,3,0.032480187,1,6466153,315703,23,0,0,0,0,0,79.55801453,358.277542,0,0,0,0,0,0,0,0,0
2005,2.01E+11,153.94,0.649603742,100,100,0,0,0,0,0,0,6362843,394142,22,0,0,0,0,0,79.91605371,2062.337493,0,0,0,0,0,0,0,0,0
2008,2.01E+11,153.94,0.051968299,8,8,0,0,0,0,0,0,6554449,319289,21,1,0,0,1,7,80.94202107,1676.454209,0,1,4,5,8,12,0,0,13
2004,2.00E+11,153.94,0.285825646,44,42,2,2,2,0,0.038976225,1,6621291,506994,22,0,0,0,0,0,81.74187022,593.377797,0,0,0,0,0,0,0,0,0
2011,2.01E+11,153.94,0.022736131,3.5,3,0,0.5,0.5,0,0.006496037,1,6668870,560654,22,0,0,0,0,0,82.40409481,1451.019324,0,0,0,0,4,4,5,13,22
2015,2.02E+11,153.94,0.116928674,18,18,0,1,0,0,0.006496037,1,6793055,556708,22,1,0,0,1,4,82.46510463,2726.866039,0,1,1,2,2,3,7,1,12
2012,2.01E+11,153.94,0.146160842,22.5,22,0,0,0.5,0,0.003248019,1,6728795,432449,23,0,0,0,0,0,82.65100017,1289.790908,0,0,0,0,8,8,0,5,13
2016,2.02E+11,153.94,0.246849422,38,38,0,0.1,0,0,0.000649604,1,6733040,465460,22,0,0,0,1,15,82.80305936,12230.31872,0,0,0,0,0,0,0,0,0
