Taxar,ID_analysis,Provyteareal,Both Pine cover,Pine_proportion,Birch cover,Aspen cover,Rowan cover,Salix cover ,Oak,RASE_proportion,RASE cover,RASE presence,NordKoordinat,OstKoordinat,Forest_class,HuggnKlass,ViktﾄlgSpillh,Moose pellet groups,Moose presence ,Wolf territory,Time since establishment,Small,Small roads,Big roads,Pellet counts,Inventetad 舁gspillningarea m2,Viktad舁gspillniningsAreal(ha)
2006,2.00631E+11,153.94,3,0.019488112,3,0,0,0,0,0,0,0,6904630,522047,4,41,0,0,0,0,0,0.0078,7.817838821,11718.40674,0,38.48,3164.45914
2008,2.0083E+11,119.9,1,0.008340284,0.5,0,0.5,0.5,0,6.96E-05,0.008340284,1,6607748,465916,3,34,0,0,0,1,3,0.008,8.023186201,4557.561055,0,37.84,2872.645774
2005,2.0053E+11,153.94,54,0.350786021,54,0,0,0,0,0,0,0,6701881,414589,3,31,0,0,0,1,3,0.008,8.0398604,3667.442729,0,38.48,3060.892231
2004,2.0043E+11,153.94,42,0.272833572,42,0,0,0,0,0,0,0,6568829,447207,2,22,0,0,0,0,0,0.0081,8.113644982,2330.62781,0,38.48,2910.166477
2005,2.0053E+11,153.94,4,0.02598415,2,0,2,2,0,0.02598415,4,1,6603875,451269,4,41,0,0,0,0,0,0.0081,8.114826848,230.763189,0,38.48,3060.892231
2005,2.00551E+11,153.94,2,0.012992075,2,0,2,0,2,0.02598415,4,1,6462250,311201,3,31,0,0,0,0,0,0.0082,8.163678734,528.738428,0,38.48,3329.408571
2010,2.01042E+11,117.82,27.5,0.233406892,27,0,0.5,0.5,0,7.20E-05,0.008487523,1,6625917,476342,2,23,0,0,0,1,1,0.0082,8.218302598,2246.78842,0,37.31,3254.077497
2006,2.00641E+11,153.94,11,0.071456412,8,0,2,3,0,0.032480187,5,1,6356728,384220,2,23,0,0,0,0,0,0.0083,8.274274407,1238.647108,0,38.48,2523.175163
2014,2.01441E+11,153.94,0,0,0,0,0,0,0,0,0,0,6504601,443953,3,33,0,0,0,0,0,0.0085,8.463143438,1323.262912,0,38.48,4421.237248
2003,2.0033E+11,153.94,8,0.051968299,3,0,3,3,0,0.038976225,6,1,6708881,455487,2,22,0,0,0,0,0,0.0085,8.483610423,403.488094,0,38.48,3137.723264
2014,2.01442E+11,153.94,1,0.006496037,1,0,2,0,0,0.012992075,2,1,6425719,373670,4,42,0,0,0,0,0,0.0085,8.499807798,1025.780906,0,38.48,2792.327371
2006,2.00641E+11,153.94,0,0,0,0,0,0,0,0,0,0,6505823,348457,3,33,0,0,0,1,3,0.0087,8.70515882,153.472298,0,38.48,3099.786667
2006,2.00631E+11,153.94,4,0.02598415,2,0,2,2,0,0.02598415,4,1,6814566,514668,3,31,0,0,0,1,3,0.0087,8.744100668,7590.613468,0,38.48,3164.45914
2003,2.00331E+11,153.94,5,0.032480187,5,0,0,0,0,0,0,0,6843360,538804,3,32,0,0,0,0,0,0.0088,8.760617513,546.516355,0,38.48,3633.267901
2013,2.01341E+11,153.94,17,0.110432636,17,0,0,0,0,0,0,0,6447411,446198,2,21,0,0,0,0,0,0.0088,8.768047029,463.230031,0,38.48,3650.870152
2010,2.01041E+11,153.94,3,0.019488112,3,0,0,0,0,0,0,0,6460490,451960,3,32,0,0,0,0,0,0.0088,8.770414753,2791.583876,0,38.48,4201.066667
2005,2.00542E+11,153.94,11,0.071456412,8,2,2,3,0,0.045472262,7,1,6551680,338312,4,41,0,0,0,0,0,0.0089,8.913366326,1075.967453,0,38.48,2975.7952
2013,2.01331E+11,153.94,5,0.032480187,5,0,0.5,0,0,0.003248019,0.5,1,6628198,447965,4,42,0,0,0,1,13,0.009,8.98510064,330.408683,0,38.48,2997.321205
2004,2.00431E+11,153.94,5,0.032480187,3,2,3,2,0,0.045472262,7,1,6888778,573728,3,31,0,0,0,0,0,0.009,8.995746297,6951.810266,0,38.48,3773.008974
2015,2.01541E+11,117.12,0,0,0,2,3,0,0,0.000364509,0.042691257,1,6546346,499705,4,42,0,0,0,0,0,0.0091,9.055837203,853.298977,0,37.11,3388.688407
2014,2.0143E+11,153.94,3.1,0.020137716,3,0,0,0.1,0,0.000649604,0.1,1,6773027,453738,4,42,0,0,0,0,0,0.0092,9.234926405,3175.190751,0,38.48,2620.433791
2009,2.00941E+11,153.94,12,0.077952449,12,0,3,0,2,0.032480187,5,1,6442337,339420,4,42,0,0,0,0,0,0.0093,9.292589701,566.951115,0,38.48,2646.11451
2014,2.0143E+11,122.55,2,0.016319869,2,1,0,0,0,6.66E-05,0.008159935,1,6731594,572092,2,23,911940.4727,1,1,1,7,0.0095,9.464681871,2341.324455,1,38.36,3498.203653
2006,2.0063E+11,153.94,5,0.032480187,3,0,8,2,0,0.064960374,10,1,6552892,451390,3,31,0,0,0,0,0,0.0095,9.538934017,583.206158,0,38.48,3187.900207
2016,2.01641E+11,153.94,0,0,0,8,0,0,0,0.051968299,8,1,6483552,372108,4,42,0,0,0,0,0,0.0098,9.816923176,713.132312,0,38.48,3517.626715
2009,2.0093E+11,153.94,0,0,0,0,0,0,0,0,0,0,6713475,569095,3,31,0,0,0,1,3,0.0098,9.848575722,1076.7297,0,38.48,1966.727778
2013,2.0134E+11,153.94,0.5,0.003248019,0.5,0,0.5,0,0.5,0.006496037,1,1,6597738,510473,3,33,0,0,0,0,0,0.0099,9.883103406,128.399164,0,38.48,3077.771861
2011,2.0113E+11,153.94,0.5,0.003248019,0.5,0,0.5,0,0,0.003248019,0.5,1,6550718,462120,4,42,0,0,0,1,12,0.0099,9.925010975,663.668989,0,38.48,3354.951747
2014,2.0144E+11,153.94,10,0.064960374,3,2,0.1,7,0,0.05911394,9.1,1,6619745,542703,3,33,0,0,0,1,11,0.01,9.986638178,1785.605006,0,38.48,4107.29745
2009,2.00951E+11,153.94,4,0.02598415,2,0,2,2,3,0.045472262,7,1,6473722,322505,3,33,0,0,0,1,1,0.01,9.996177115,204.40506,0,38.48,3389.943273
2005,2.0053E+11,153.94,12,0.077952449,12,0,0,0,0,0,0,0,6703367,414583,3,31,0,0,0,1,3,0.01,10.04933985,3701.346026,0,38.48,3060.892231
2012,2.01241E+11,153.94,0.5,0.003248019,0.5,0,0.5,0,0,0.003248019,0.5,1,6394782,373585,4,42,0,0,0,0,0,0.0101,10.06553625,821.178416,0,38.48,2367.57614
2004,2.00431E+11,153.94,8,0.051968299,8,0,0,0,0,0,0,0,6777396,459147,3,31,0,0,0,0,0,0.0101,10.08864131,913.896442,0,38.48,2763.499388
2012,2.01242E+11,153.94,0,0,0,0,0.5,0,0.5,0.006496037,1,1,6575960,544125,4,42,0,0,0,0,0,0.0101,10.09121338,18.865919,0,38.48,2148.308571
2010,2.0103E+11,153.94,5,0.032480187,5,0,19,0,0,0.123424711,19,1,6862010,615247,3,33,0,0,0,0,0,0.0101,10.09427428,485.809261,0,38.48,4234.456115
2007,2.00751E+11,153.94,0,0,0,0,0,0,0,0,0,0,6488944,286898,1,11,0,0,0,0,0,0.0101,10.0956904,170.693805,0,38.48,2959.474286
2006,2.00631E+11,153.94,20,0.129920748,12,0,19,8,0,0.17539301,27,1,6815239,568638,2,22,0,0,0,0,0,0.0102,10.19259097,1272.693033,0,38.48,3164.45914
